"","INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"2462","I182068024",3301,"Verbal Disputes","VERBAL DISPUTE","A15",60,"","2018-08-25 00:05:00",2018,8,"Saturday",0,"Part Three","MAIN ST",42.37380056,-71.06290352,"(42.37380056, -71.06290352)"
"2463","I182070116",3114,"Investigate Property","INVESTIGATE PROPERTY","B2",309,"","2018-08-25 00:00:00",2018,8,"Saturday",0,"Part Three","S CHARLAME CT",42.31939136,-71.08544157,"(42.31939136, -71.08544157)"
"2464","I182068932",3207,"Property Found","PROPERTY - FOUND","B2",329,"","2018-08-25 00:00:00",2018,8,"Saturday",0,"Part Three","BLUE HILL AVE",42.30938437,-71.08262277,"(42.30938437, -71.08262277)"
"2465","I182068064",2403,"Disorderly Conduct","DISTURBING THE PEACE","C6",206,"","2018-08-25 00:00:00",2018,8,"Saturday",0,"Part Two","SLEEPER ST",42.35348229,-71.04814061,"(42.35348229, -71.04814061)"
"2466","I182068064",2610,"Other","TRESPASSING","C6",206,"","2018-08-25 00:00:00",2018,8,"Saturday",0,"Part Two","SLEEPER ST",42.35348229,-71.04814061,"(42.35348229, -71.04814061)"
"2467","I182068025",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","A15",NA,"","2018-08-24 23:58:00",2018,8,"Friday",23,"Part Three","",NA,NA,"(0.00000000, 0.00000000)"
"2468","I182068029",3114,"Investigate Property","INVESTIGATE PROPERTY","C11",388,"","2018-08-24 23:31:00",2018,8,"Friday",23,"Part Three","PATTERSON ST",42.27952069,-71.06543054,"(42.27952069, -71.06543054)"
"2469","I182068017",3111,"License Violation","LICENSE PREMISE VIOLATION","A1",79,"","2018-08-24 23:31:00",2018,8,"Friday",23,"Part Three","ENDICOTT ST",42.36656621,-71.05809013,"(42.36656621, -71.05809013)"
"2470","I182068013",3111,"License Violation","LICENSE PREMISE VIOLATION","A1",79,"","2018-08-24 23:18:00",2018,8,"Friday",23,"Part Three","THACHER ST",42.36551616,-71.05665164,"(42.36551616, -71.05665164)"
"2471","I182068019",2662,"Ballistics","BALLISTICS EVIDENCE/FOUND","B2",260,"","2018-08-24 23:17:00",2018,8,"Friday",23,"Part Two","DUDLEY ST",42.31987076,-71.07096263,"(42.31987076, -71.07096263)"
"2472","I182068021",3301,"Verbal Disputes","VERBAL DISPUTE","E18",493,"","2018-08-24 23:14:08",2018,8,"Friday",23,"Part Three","LEXINGTON AVE",42.26255067,-71.11582205,"(42.26255067, -71.11582205)"
"2473","I182068016",3830,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PERSONAL INJURY","D4",627,"","2018-08-24 23:10:00",2018,8,"Friday",23,"Part Three","BOYLSTON ST",42.34442266,-71.09833083,"(42.34442266, -71.09833083)"
"2474","I182068012",3007,"Medical Assistance","SUDDEN DEATH","E13",508,"","2018-08-24 23:10:00",2018,8,"Friday",23,"Part Three","BLANVON RD",42.291159,-71.11844,"(42.29115900, -71.11844000)"
"2475","I182068030",3410,"Towed","TOWED MOTOR VEHICLE","B2",611,"","2018-08-24 23:00:00",2018,8,"Friday",23,"Part Three","RIVERWAY",42.33559715,-71.10981889,"(42.33559715, -71.10981889)"
"2476","I182068015",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2",324,"","2018-08-24 22:49:00",2018,8,"Friday",22,"Part Three","RANDLETT PL",42.31815243,-71.07701508,"(42.31815243, -71.07701508)"
"2477","I182068006",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","E18",490,"","2018-08-24 22:43:00",2018,8,"Friday",22,"Part Two","AMERICAN LEGION HWY",42.27531312,-71.11587798,"(42.27531312, -71.11587798)"
"2478","I182068152",611,"Larceny","LARCENY PICK-POCKET","D4",138,"","2018-08-24 22:30:00",2018,8,"Friday",22,"Part One","BOYLSTON ST",42.34901954,-71.08130134,"(42.34901954, -71.08130134)"
"2479","I182068028",724,"Auto Theft","AUTO THEFT","A1",NA,"","2018-08-24 22:30:00",2018,8,"Friday",22,"Part One","",42.35965156,-71.05179963,"(42.35965156, -71.05179963)"
"2480","I182069675",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B2",NA,"","2018-08-24 22:26:00",2018,8,"Friday",22,"Part Three","BLUE HILL AVE",NA,NA,"(0.00000000, 0.00000000)"
"2481","I182068014",3301,"Verbal Disputes","VERBAL DISPUTE","E18",513,"","2018-08-24 22:16:00",2018,8,"Friday",22,"Part Three","MILTON AVE",42.2511478,-71.1120605,"(42.25114780, -71.11206050)"
"2482","I182068009",3207,"Property Found","PROPERTY - FOUND","D4",167,"","2018-08-24 22:15:00",2018,8,"Friday",22,"Part Three","HARRISON AVE",42.33856155,-71.07063441,"(42.33856155, -71.07063441)"
"2483","I182068004",2646,"Liquor Violation","LIQUOR - DRINKING IN PUBLIC","A1",79,"","2018-08-24 22:09:00",2018,8,"Friday",22,"Part Two","PRINCE ST",42.36608625,-71.05696428,"(42.36608625, -71.05696428)"
"2484","I182068010",3115,"Investigate Person","INVESTIGATE PERSON","D14",764,"","2018-08-24 22:05:00",2018,8,"Friday",22,"Part Three","ARLINGTON ST",42.35265053,-71.15668779,"(42.35265053, -71.15668779)"
"2485","I182069076",3201,"Property Lost","PROPERTY - LOST","B2",605,"","2018-08-24 22:00:00",2018,8,"Friday",22,"Part Three","PARKER HILL AVE",42.33267994,-71.109579,"(42.33267994, -71.10957900)"
"2486","I182068127",3201,"Property Lost","PROPERTY - LOST","A1",95,"","2018-08-24 21:20:00",2018,8,"Friday",21,"Part Three","STATE ST",42.35961316,-71.05195809,"(42.35961316, -71.05195809)"
"2487","I182067996",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","E13",572,"","2018-08-24 21:17:00",2018,8,"Friday",21,"Part Two","WASHINGTON ST",42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
"2488","I182067993",3114,"Investigate Property","INVESTIGATE PROPERTY","B2",261,"","2018-08-24 21:04:00",2018,8,"Friday",21,"Part Three","HOWARD AVE",42.31997536,-71.0716068,"(42.31997536, -71.07160680)"
"2489","I182068022",3007,"Medical Assistance","SUDDEN DEATH","B3",447,"","2018-08-24 21:01:00",2018,8,"Friday",21,"Part Three","SPENCER ST",42.29542943,-71.07661172,"(42.29542943, -71.07661172)"
"2490","I182068011",2007,"Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","E5",712,"","2018-08-24 21:00:00",2018,8,"Friday",21,"Part Two","ROCKINGHAM AVE",42.26454355,-71.15726319,"(42.26454355, -71.15726319)"
"2491","I182068001",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2",NA,"","2018-08-24 21:00:00",2018,8,"Friday",21,"Part Three","CLIFTON ST",NA,NA,"(0.00000000, 0.00000000)"
"2492","I182068007",706,"Auto Theft","AUTO THEFT - MOTORCYCLE / SCOOTER","B2",605,"","2018-08-24 20:58:00",2018,8,"Friday",20,"Part One","HUNTINGTON AVE",42.33326323,-71.1084841,"(42.33326323, -71.10848410)"
"2493","I182067997",1402,"Vandalism","VANDALISM","E13",577,"","2018-08-24 20:55:00",2018,8,"Friday",20,"Part Two","WASHINGTON ST",42.31408519,-71.09998685,"(42.31408519, -71.09998685)"
"2494","I182067992",3830,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PERSONAL INJURY","C11",403,"","2018-08-24 20:52:00",2018,8,"Friday",20,"Part Three","ALICIA RD",42.28028554,-71.06834156,"(42.28028554, -71.06834156)"
"2495","I182068002",2647,"Other","THREATS TO DO BODILY HARM","E18",495,"","2018-08-24 20:51:00",2018,8,"Friday",20,"Part Two","ARLINGTON ST",42.26303952,-71.12230282,"(42.26303952, -71.12230282)"
"2496","I182067990",301,"Robbery","ROBBERY - STREET","C11",359,"","2018-08-24 20:48:00",2018,8,"Friday",20,"Part One","ALPHA RD",42.29624549,-71.0671598,"(42.29624549, -71.06715980)"
"2497","I182067977",1402,"Vandalism","VANDALISM","C11",355,"","2018-08-24 20:41:00",2018,8,"Friday",20,"Part Two","DIX ST",42.2952182,-71.06068709,"(42.29521820, -71.06068709)"
"2498","I182067998",3115,"Investigate Person","INVESTIGATE PERSON","B2",291,"","2018-08-24 20:34:00",2018,8,"Friday",20,"Part Three","CENTRE ST",42.32999344,-71.09170533,"(42.32999344, -71.09170533)"
"2499","I182067971",1102,"Fraud","FRAUD - FALSE PRETENSE / SCHEME","C6",211,"","2018-08-24 20:33:00",2018,8,"Friday",20,"Part Two","W BROADWAY",42.33866399,-71.05061235,"(42.33866399, -71.05061235)"
"2500","I182067970",413,"Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","D4",903,"","2018-08-24 20:32:00",2018,8,"Friday",20,"Part One","TREMONT ST",42.33738014,-71.08388901,"(42.33738014, -71.08388901)"
"2501","I182067989",3115,"Investigate Person","INVESTIGATE PERSON","C11",391,"","2018-08-24 20:31:00",2018,8,"Friday",20,"Part Three","ADAMS ST",42.28397463,-71.05553564,"(42.28397463, -71.05553564)"
"2502","I182067982",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","C6",206,"","2018-08-24 20:28:00",2018,8,"Friday",20,"Part Three","CONGRESS ST",42.34955366,-71.04720727,"(42.34955366, -71.04720727)"
"2503","I182067968",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E13",648,"","2018-08-24 20:12:53",2018,8,"Friday",20,"Part Three","BOYNTON ST",42.30540934,-71.1118618,"(42.30540934, -71.11186180)"
"2504","I182067973",3114,"Investigate Property","INVESTIGATE PROPERTY","",NA,"","2018-08-24 20:12:00",2018,8,"Friday",20,"Part Three","WASHINGTON",-1,-1,"(-1.00000000, -1.00000000)"
"2505","I182067978",616,"Larceny","LARCENY THEFT OF BICYCLE","D14",793,"","2018-08-24 20:09:00",2018,8,"Friday",20,"Part One","COMMONWEALTH AVE",42.34888872,-71.1335453,"(42.34888872, -71.13354530)"
"2506","I182067978",2616,"Other","POSSESSION OF BURGLARIOUS TOOLS","D14",793,"","2018-08-24 20:09:00",2018,8,"Friday",20,"Part Two","COMMONWEALTH AVE",42.34888872,-71.1335453,"(42.34888872, -71.13354530)"
"2507","I182067978",3125,"Warrant Arrests","WARRANT ARREST","D14",793,"","2018-08-24 20:09:00",2018,8,"Friday",20,"Part Three","COMMONWEALTH AVE",42.34888872,-71.1335453,"(42.34888872, -71.13354530)"
"2508","I182067988",3301,"Verbal Disputes","VERBAL DISPUTE","B3",426,"","2018-08-24 20:07:00",2018,8,"Friday",20,"Part Three","RIVER ST",42.26956689,-71.09075049,"(42.26956689, -71.09075049)"
"2509","I182068173",3201,"Property Lost","PROPERTY - LOST","A1",111,"","2018-08-24 20:00:00",2018,8,"Friday",20,"Part Three","WASHINGTON ST",42.35512339,-71.0608798,"(42.35512339, -71.06087980)"
"2510","I182067985",3301,"Verbal Disputes","VERBAL DISPUTE","E13",572,"","2018-08-24 19:46:00",2018,8,"Friday",19,"Part Three","GLINES AVE",42.31365085,-71.09861394,"(42.31365085, -71.09861394)"
"2511","I182067976",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B3",446,"","2018-08-24 19:39:00",2018,8,"Friday",19,"Part Three","HARVARD ST",42.29717969,-71.07667594,"(42.29717969, -71.07667594)"
"2512","I182067967",2907,"Violations","VAL - OPERATING AFTER REV/SUSP.","E13",304,"","2018-08-24 19:35:00",2018,8,"Friday",19,"Part Two","WASHINGTON ST",42.31667114,-71.09743705,"(42.31667114, -71.09743705)"
"2513","I182067957",1501,"Firearm Violations","WEAPON - FIREARM - CARRYING / POSSESSING, ETC","E18",536,"","2018-08-24 19:35:00",2018,8,"Friday",19,"Part Two","ALWIN ST",42.2540765,-71.14299321,"(42.25407650, -71.14299321)"
"2514","I182067972",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","C11",405,"","2018-08-24 19:31:00",2018,8,"Friday",19,"Part Three","DORCHESTER AVE",42.27357721,-71.0677043,"(42.27357721, -71.06770430)"
"2515","I182068816",616,"Larceny","LARCENY THEFT OF BICYCLE","A1",83,"","2018-08-24 19:30:00",2018,8,"Friday",19,"Part One","HENCHMAN ST",42.36721232,-71.05369636,"(42.36721232, -71.05369636)"
"2516","I182067969",3115,"Investigate Person","INVESTIGATE PERSON","D4",140,"","2018-08-24 19:30:00",2018,8,"Friday",19,"Part Three","MARLBOROUGH ST",42.3503876,-71.0878529,"(42.35038760, -71.08785290)"
"2517","I182067975",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A7",15,"","2018-08-24 19:24:00",2018,8,"Friday",19,"Part Two","BENNINGTON ST",42.38102644,-71.02252559,"(42.38102644, -71.02252559)"
"2518","I182067966",1402,"Vandalism","VANDALISM","B3",447,"","2018-08-24 19:22:00",2018,8,"Friday",19,"Part Two","PARK ST",42.29482381,-71.07603424,"(42.29482381, -71.07603424)"
"2519","I182067953",3115,"Investigate Person","INVESTIGATE PERSON","E5",691,"","2018-08-24 19:17:00",2018,8,"Friday",19,"Part Three","CENTRE ST",42.28709355,-71.14822128,"(42.28709355, -71.14822128)"
"2520","I182067952",3115,"Investigate Person","INVESTIGATE PERSON","E5",691,"","2018-08-24 19:15:00",2018,8,"Friday",19,"Part Three","CENTRE ST",42.28709355,-71.14822128,"(42.28709355, -71.14822128)"
"2521","I182067959",3115,"Investigate Person","INVESTIGATE PERSON","A1",66,"","2018-08-24 19:07:00",2018,8,"Friday",19,"Part Three","W CEDAR ST",42.36063386,-71.07005247,"(42.36063386, -71.07005247)"
"2522","I182067987",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","E18",503,"","2018-08-24 19:04:00",2018,8,"Friday",19,"Part Two","AMERICAN LEGION HWY",42.28446743,-71.11183089,"(42.28446743, -71.11183089)"
"2523","I182067987",619,"Larceny","LARCENY ALL OTHERS","E18",503,"","2018-08-24 19:04:00",2018,8,"Friday",19,"Part One","AMERICAN LEGION HWY",42.28446743,-71.11183089,"(42.28446743, -71.11183089)"
"2524","I182068079",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","A7",23,"","2018-08-24 19:00:00",2018,8,"Friday",19,"Part One","LEXINGTON ST",42.37786494,-71.03708922,"(42.37786494, -71.03708922)"
"2525","I182067974",1846,"Drug Violation","DRUGS - POSS CLASS E","E13",912,"","2018-08-24 19:00:00",2018,8,"Friday",19,"Part Two","CENTRE ST",42.32290252,-71.10220402,"(42.32290252, -71.10220402)"
"2526","I182067951",2629,"Harassment","HARASSMENT","E13",572,"","2018-08-24 18:45:00",2018,8,"Friday",18,"Part Two","COLUMBUS AVE",42.31440549,-71.09670909,"(42.31440549, -71.09670909)"
"2527","I182067948",2905,"Violations","VAL - OPERATING WITHOUT LICENSE","E18",523,"","2018-08-24 18:38:00",2018,8,"Friday",18,"Part Two","HYDE PARK AVE",42.24260011,-71.13035022,"(42.24260011, -71.13035022)"
"2528","I182067948",3125,"Warrant Arrests","WARRANT ARREST","E18",523,"","2018-08-24 18:38:00",2018,8,"Friday",18,"Part Three","HYDE PARK AVE",42.24260011,-71.13035022,"(42.24260011, -71.13035022)"
"2529","I182067956",3301,"Verbal Disputes","VERBAL DISPUTE","B2",318,"","2018-08-24 18:35:00",2018,8,"Friday",18,"Part Three","HUMBOLDT AVE",42.31024899,-71.0918393,"(42.31024899, -71.09183930)"
"2530","I182067942",3114,"Investigate Property","INVESTIGATE PROPERTY","C6",200,"","2018-08-24 18:35:00",2018,8,"Friday",18,"Part Three","W BROADWAY",42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
"2531","I182067986",3007,"Medical Assistance","SUDDEN DEATH","E13",570,"","2018-08-24 18:34:00",2018,8,"Friday",18,"Part Three","WILLIAMS ST",42.30397603,-71.10476982,"(42.30397603, -71.10476982)"
"2532","I182067941",3114,"Investigate Property","INVESTIGATE PROPERTY","C6",200,"","2018-08-24 18:34:00",2018,8,"Friday",18,"Part Three","W BROADWAY",42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
"2533","I182067979",1402,"Vandalism","VANDALISM","",NA,"","2018-08-24 18:30:00",2018,8,"Friday",18,"Part Two","",42.35190898,-71.07067559,"(42.35190898, -71.07067559)"
"2534","I182067935",3115,"Investigate Person","INVESTIGATE PERSON","D14",812,"","2018-08-24 18:18:00",2018,8,"Friday",18,"Part Three","SOLDIERS FIELD RD",42.369217,-71.13025002,"(42.36921700, -71.13025002)"
"2535","I182067945",3207,"Property Found","PROPERTY - FOUND","A1",NA,"","2018-08-24 18:09:00",2018,8,"Friday",18,"Part Three","BOYLSTON ST",NA,NA,"(0.00000000, 0.00000000)"
"2536","I182069695",1102,"Fraud","FRAUD - FALSE PRETENSE / SCHEME","B2",330,"","2018-08-24 18:00:00",2018,8,"Friday",18,"Part Two","BLUE HILL AVE",42.3043395,-71.08477887,"(42.30433950, -71.08477887)"
"2537","I182068809",616,"Larceny","LARCENY THEFT OF BICYCLE","A1",61,"","2018-08-24 18:00:00",2018,8,"Friday",18,"Part One","CAUSEWAY ST",42.3666696,-71.05900199,"(42.36666960, -71.05900199)"
"2538","I182068175",1402,"Vandalism","VANDALISM","B3",466,"","2018-08-24 18:00:00",2018,8,"Friday",18,"Part Two","MORTON ST",42.28560167,-71.0931713,"(42.28560167, -71.09317130)"
"2539","I182067994",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","C11",381,"","2018-08-24 18:00:00",2018,8,"Friday",18,"Part Three","NEPONSET AVE",42.28618815,-71.04350954,"(42.28618815, -71.04350954)"
"2540","I182067937",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","B2",316,"","2018-08-24 17:59:00",2018,8,"Friday",17,"Part Three","ABBOTSFORD ST",42.31426756,-71.09153899,"(42.31426756, -71.09153899)"
"2541","I182067936",2007,"Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","B3",432,"","2018-08-24 17:58:00",2018,8,"Friday",17,"Part Two","WOODROW AVE",42.28712049,-71.08421139,"(42.28712049, -71.08421139)"
"2542","I182067929",2647,"Other","THREATS TO DO BODILY HARM","D4",273,"","2018-08-24 17:55:00",2018,8,"Friday",17,"Part Two","CAMDEN ST",42.33826694,-71.08176399,"(42.33826694, -71.08176399)"
"2543","I182067943",3114,"Investigate Property","INVESTIGATE PROPERTY","E5",732,"","2018-08-24 17:51:00",2018,8,"Friday",17,"Part Three","DENT ST",42.28111408,-71.16065405,"(42.28111408, -71.16065405)"
"2544","I182067947",423,"Aggravated Assault","ASSAULT - AGGRAVATED","C6",914,"","2018-08-24 17:40:00",2018,8,"Friday",17,"Part One","GENERAL LAWRENCE J LOGAN ",42.32779674,-71.05435602,"(42.32779674, -71.05435602)"
"2545","I182067946",619,"Larceny","LARCENY ALL OTHERS","A1",94,"","2018-08-24 17:35:00",2018,8,"Friday",17,"Part One","FANEUIL HALL MARKETPLACE",42.35997967,-71.05474135,"(42.35997967, -71.05474135)"
"2546","I182067995",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","B2",182,"","2018-08-24 17:30:00",2018,8,"Friday",17,"Part Three","NORFOLK AVE",42.32367935,-71.06785645,"(42.32367935, -71.06785645)"
"2547","I182067922",2900,"Other","VAL - VIOLATION OF AUTO LAW - OTHER","C11",348,"","2018-08-24 17:28:00",2018,8,"Friday",17,"Part Two","FREEPORT ST",42.30650674,-71.05756867,"(42.30650674, -71.05756867)"
"2548","I182067914",3115,"Investigate Person","INVESTIGATE PERSON","B2",282,"","2018-08-24 17:25:00",2018,8,"Friday",17,"Part Three","WASHINGTON ST",42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
"2549","I182067913",3114,"Investigate Property","INVESTIGATE PROPERTY","D4",273,"","2018-08-24 17:18:00",2018,8,"Friday",17,"Part Three","CAMDEN ST",42.33744115,-71.08057671,"(42.33744115, -71.08057671)"
"2550","I182067915",1842,"Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","C6",176,"","2018-08-24 17:11:00",2018,8,"Friday",17,"Part Two","MOORE ST",42.33126177,-71.06588201,"(42.33126177, -71.06588201)"
"2551","I182067916",3801,"Motor Vehicle Accident Response","M/V ACCIDENT - OTHER","E13",509,"","2018-08-24 17:10:21",2018,8,"Friday",17,"Part Three","HYDE PARK AVE",42.29697913,-71.11561599,"(42.29697913, -71.11561599)"
"2552","I182067921",3115,"Investigate Person","INVESTIGATE PERSON","D4",168,"","2018-08-24 17:10:00",2018,8,"Friday",17,"Part Three","WASHINGTON ST",42.33816387,-71.07461217,"(42.33816387, -71.07461217)"
"2553","I182067931",2647,"Other","THREATS TO DO BODILY HARM","",NA,"","2018-08-24 17:07:00",2018,8,"Friday",17,"Part Two","FULLER",-1,-1,"(-1.00000000, -1.00000000)"
"2554","I182067903",3502,"Missing Person Located","MISSING PERSON - LOCATED","A7",29,"","2018-08-24 17:06:00",2018,8,"Friday",17,"Part Three","SUMNER ST",42.36830894,-71.03843756,"(42.36830894, -71.03843756)"
"2555","I182068814",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","C6",216,"","2018-08-24 17:00:00",2018,8,"Friday",17,"Part One","W NINTH ST",42.33399643,-71.05348652,"(42.33399643, -71.05348652)"
"2556","I182068774",613,"Larceny","LARCENY SHOPLIFTING","D4",137,"","2018-08-24 17:00:00",2018,8,"Friday",17,"Part One","NEWBURY ST",42.34999733,-71.0810344,"(42.34999733, -71.08103440)"
"2557","I182068099",3106,"Property Related Damage","PROPERTY - ACCIDENTAL DAMAGE","D14",809,"","2018-08-24 17:00:00",2018,8,"Friday",17,"Part Three","LINCOLN ST",42.35749493,-71.13708902,"(42.35749493, -71.13708902)"
"2558","I182067920",3115,"Investigate Person","INVESTIGATE PERSON","B3",452,"","2018-08-24 16:48:00",2018,8,"Friday",16,"Part Three","KENBERMA RD",42.29574022,-71.07322638,"(42.29574022, -71.07322638)"
"2559","I182067902",2610,"Other","TRESPASSING","B3",427,"","2018-08-24 16:38:00",2018,8,"Friday",16,"Part Two","FESSENDEN ST",42.27855984,-71.09199697,"(42.27855984, -71.09199697)"
"2560","I182067897",1106,"Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","A1",119,"","2018-08-24 16:35:00",2018,8,"Friday",16,"Part Two","TREMONT ST",42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
"2561","I182067919",3114,"Investigate Property","INVESTIGATE PROPERTY","A15",900,"","2018-08-24 16:32:00",2018,8,"Friday",16,"Part Three","O'BRIEN CT",42.37794191,-71.0550732,"(42.37794191, -71.05507320)"
"2562","I182067932",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","B3",NA,"","2018-08-24 16:31:00",2018,8,"Friday",16,"Part Three","HARVARD ST",NA,NA,"(0.00000000, 0.00000000)"
"2563","I182068018",2662,"Ballistics","BALLISTICS EVIDENCE/FOUND","B2",258,"","2018-08-24 16:30:00",2018,8,"Friday",16,"Part Two","COLUMBIA RD",42.31514179,-71.06704709,"(42.31514179, -71.06704709)"
"2564","I182067899",3830,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PERSONAL INJURY","D4",285,"","2018-08-24 16:12:00",2018,8,"Friday",16,"Part Three","SAINT CYPRIANS PL",42.33600039,-71.08641394,"(42.33600039, -71.08641394)"
"2565","I182068798",617,"Larceny","LARCENY THEFT FROM BUILDING","B2",603,"","2018-08-24 16:00:00",2018,8,"Friday",16,"Part One","TREMONT ST",42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
"2566","I182067981",616,"Larceny","LARCENY THEFT OF BICYCLE","D14",779,"","2018-08-24 16:00:00",2018,8,"Friday",16,"Part One","MURDOCK ST",42.351743,-71.14705536,"(42.35174300, -71.14705536)"
"2567","I182067906",619,"Larceny","LARCENY ALL OTHERS","C11",346,"","2018-08-24 15:58:00",2018,8,"Friday",15,"Part One","ADAMS ST",42.30618185,-71.06187015,"(42.30618185, -71.06187015)"
"2568","I182067905",3114,"Investigate Property","INVESTIGATE PROPERTY","B2",280,"","2018-08-24 15:57:00",2018,8,"Friday",15,"Part Three","WASHINGTON ST",42.33044113,-71.08373481,"(42.33044113, -71.08373481)"
"2569","I182067907",3108,"Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","B3",427,"","2018-08-24 15:47:00",2018,8,"Friday",15,"Part Three","EVELYN ST",42.27934055,-71.09130505,"(42.27934055, -71.09130505)"
"2570","I182067894",613,"Larceny","LARCENY SHOPLIFTING","D4",142,"","2018-08-24 15:46:00",2018,8,"Friday",15,"Part One","NEWBURY ST",42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
"2571","I182067894",3125,"Warrant Arrests","WARRANT ARREST","D4",142,"","2018-08-24 15:46:00",2018,8,"Friday",15,"Part Three","NEWBURY ST",42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
"2572","I182067944",2647,"Other","THREATS TO DO BODILY HARM","E5",680,"","2018-08-24 15:41:00",2018,8,"Friday",15,"Part Two","WASHINGTON ST",42.28309189,-71.131732,"(42.28309189, -71.13173200)"
"2573","I182067882",3201,"Property Lost","PROPERTY - LOST","E5",563,"","2018-08-24 15:39:00",2018,8,"Friday",15,"Part Three","STELLMAN RD",42.28919902,-71.12309195,"(42.28919902, -71.12309195)"
"2574","I182067878",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","C6",NA,"","2018-08-24 15:17:00",2018,8,"Friday",15,"Part Three","",NA,NA,"(0.00000000, 0.00000000)"
"2575","I182067871",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A15",41,"","2018-08-24 15:15:00",2018,8,"Friday",15,"Part Two","VINE ST",42.37663167,-71.05593196,"(42.37663167, -71.05593196)"
"2576","I182067890",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","D4",156,"","2018-08-24 15:13:00",2018,8,"Friday",15,"Part Three","MASSACHUSETTS AVE",42.33828866,-71.07908476,"(42.33828866, -71.07908476)"
"2577","I182067873",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","E18",520,"","2018-08-24 15:13:00",2018,8,"Friday",15,"Part Three","HYDE PARK AVE",42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
"2578","I182067911",2629,"Harassment","HARASSMENT","C6",914,"","2018-08-24 15:05:00",2018,8,"Friday",15,"Part Two","COLONEL MICHAEL J. MCDONO",42.32790482,-71.05305583,"(42.32790482, -71.05305583)"
"2579","I182067865",617,"Larceny","LARCENY THEFT FROM BUILDING","B2",611,"","2018-08-24 15:03:00",2018,8,"Friday",15,"Part One","HUNTINGTON AVE",42.33326323,-71.1084841,"(42.33326323, -71.10848410)"
"2580","I182069179",3208,"Property Lost","PROPERTY - MISSING","C11",336,"","2018-08-24 15:00:00",2018,8,"Friday",15,"Part Three","RICHFIELD ST",42.3080178,-71.07147771,"(42.30801780, -71.07147771)"
"2581","I182068193",617,"Larceny","LARCENY THEFT FROM BUILDING","A1",98,"","2018-08-24 15:00:00",2018,8,"Friday",15,"Part One","CONGRESS ST",42.3578953,-71.05648542,"(42.35789530, -71.05648542)"
"2582","I182068111",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D14",774,"","2018-08-24 15:00:00",2018,8,"Friday",15,"Part One","COMMONWEALTH AVE",42.33950104,-71.15226126,"(42.33950104, -71.15226126)"
