"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Location"
"3112",120304766,"01/12/2012","12/31/2011",1000,3,"Southwest",394,354,"THEFT OF IDENTITY","0377 0100",77,"F","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"4100    4TH                          AV","","(34.0108, -118.3214)"
"3113",120304907,"01/14/2012","12/31/2011",1200,3,"Southwest",374,649,"DOCUMENT FORGERY / STOLEN FELONY","0923 1822",59,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",649,NA,NA,NA,"3800    ARLINGTON                    AV","","(34.0183, -118.3182)"
"3114",120305441,"01/24/2012","12/31/2011",800,3,"Southwest",362,510,"VEHICLE - STOLEN","",11,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"4000    COCO                         AV","","(34.0141, -118.3501)"
"3115",120311590,"04/29/2012","12/31/2011",2300,3,"Southwest",355,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","1822 0344",57,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",341,NA,NA,NA,"1700    EXPOSITION                   BL","","(34.0185, -118.3109)"
"3116",120404005,"01/01/2012","12/31/2011",1500,4,"Hollenbeck",415,510,"VEHICLE - STOLEN","",11,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",510,NA,NA,NA,"2500    JOHNSTON                     ST","","(34.0755, -118.2104)"
"3117",120404028,"01/01/2012","12/31/2011",2000,4,"Hollenbeck",478,330,"BURGLARY FROM VEHICLE","1302 1307 0344",41,"M","H",102,"SIDEWALK",NA,"","AA","Adult Arrest",330,NA,NA,NA,"600 S  LORENA                       ST","","(34.0308, -118.199)"
"3118",120404030,"01/01/2012","12/31/2011",1630,4,"Hollenbeck",499,624,"BATTERY - SIMPLE ASSAULT","1202 0416 1310",69,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"1100 S  INDIANA                      ST","","(34.02, -118.1923)"
"3119",120404033,"12/31/2011","12/31/2011",1800,4,"Hollenbeck",426,624,"BATTERY - SIMPLE ASSAULT","2000 1814 0419 0400 0447 1210",28,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"3500    LINDA VISTA                  TR","","(34.0862, -118.1713)"
"3120",120404035,"12/31/2011","12/31/2011",1630,4,"Hollenbeck",421,330,"BURGLARY FROM VEHICLE","1302 0344",30,"F","H",108,"PARKING LOT",NA,"","IC","Invest Cont",330,NA,NA,NA,"700    LAMAR                        ST","","(34.0648, -118.2233)"
"3121",120404036,"12/31/2011","12/31/2011",200,4,"Hollenbeck",429,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344 0352",33,"M","H",101,"STREET",NA,"","IC","Invest Cont",420,NA,NA,NA,"5400    SHELLEY                      ST","","(34.0912, -118.1624)"
"3122",120404040,"12/31/2011","12/31/2011",2210,4,"Hollenbeck",467,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1307",39,"F","H",103,"ALLEY",NA,"","IC","Invest Cont",745,NA,NA,NA,"500 S  MATHEWS                      ST","","(34.0385, -118.2117)"
"3123",120404042,"01/01/2012","12/31/2011",2330,4,"Hollenbeck",424,624,"BATTERY - SIMPLE ASSAULT","2000 1814 0448 0416 0419",33,"F","H",503,"HOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",624,NA,NA,NA,"2100    PARKSIDE                     AV","","(34.0693, -118.2)"
"3124",120404043,"01/01/2012","12/31/2011",2100,4,"Hollenbeck",465,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","1307 0329 1251",NA,"M","W",101,"STREET",NA,"","AA","Adult Arrest",740,NA,NA,NA,"500 S  LORENA                       ST","","(34.0324, -118.198)"
"3125",120404044,"01/01/2012","12/31/2011",2300,4,"Hollenbeck",408,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329",NA,"M","W",210,"RESTAURANT/FAST FOOD",NA,"","IC","Invest Cont",740,NA,NA,NA,"4900    HUNTINGTON                   DR","","(34.0868, -118.177)"
"3126",120404092,"01/03/2012","12/31/2011",1900,4,"Hollenbeck",478,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329",47,"M","H",101,"STREET",NA,"","IC","Invest Cont",740,NA,NA,NA,"ATLANTIC","CONCORD","(34.0247, -118.2029)"
"3127",120404116,"01/04/2012","12/31/2011",1130,4,"Hollenbeck",443,815,"SEXUAL PENTRATION WITH A FOREIGN OBJECT","0522 0515 0531",47,"F","W",701,"HOSPITAL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",815,NA,NA,NA,"1200 N  STATE                        ST","","(34.0594, -118.2094)"
"3128",120404373,"01/09/2012","12/31/2011",1200,4,"Hollenbeck",408,354,"THEFT OF IDENTITY","0100 0377 0928",48,"F","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"3700    LOCKE                        AV","","(34.0883, -118.1797)"
"3129",120504004,"12/31/2011","12/31/2011",2330,5,"Harbor",528,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0416 1813",27,"F","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"1600 E  MAURETANIA                   ST","","(33.7903, -118.2446)"
"3130",120504006,"12/31/2011","12/31/2011",1300,5,"Harbor",518,310,"BURGLARY","1607 0358 0344",35,"F","H",501,"SINGLE FAMILY DWELLING",NA,"","AO","Adult Other",310,NA,NA,NA,"24800    AVALON                       BL","","(33.801, -118.264)"
"3131",120504008,"01/01/2012","12/31/2011",2100,5,"Harbor",564,330,"BURGLARY FROM VEHICLE","0344 1300 0358 0377 1606",40,"F","B",108,"PARKING LOT",NA,"","IC","Invest Cont",330,NA,NA,NA,"400 W  7TH                          ST","","(33.7379, -118.2857)"
"3132",120504009,"12/31/2011","12/31/2011",1820,5,"Harbor",557,763,"STALKING","0329 1300 1309 1402 0347",23,"F","W",707,"GARAGE/CARPORT",NA,"","AA","Adult Arrest",763,998,NA,NA,"600 W  5TH                          ST","","(33.7397, -118.2901)"
"3133",120504011,"12/31/2011","12/31/2011",1215,5,"Harbor",558,900,"VIOLATION OF COURT ORDER","0906 1816",11,"M","X",101,"STREET",NA,"","AA","Adult Arrest",900,NA,NA,NA,"500 N  CENTRE                       ST","","(33.7469, -118.2835)"
"3134",120504024,"01/01/2012","12/31/2011",2100,5,"Harbor",531,624,"BATTERY - SIMPLE ASSAULT","0416",44,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",624,NA,NA,NA,"ANAHEIM","PRESIDENT","(33.7855, -118.3043)"
"3135",120504029,"01/01/2012","12/31/2011",2230,5,"Harbor",515,510,"VEHICLE - STOLEN","",11,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"1400    RONAN                        AV","","(33.7907, -118.2729)"
"3136",120504041,"01/01/2012","12/31/2011",300,5,"Harbor",585,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 0913 0554",30,"M","O",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"900 W  19TH                         ST","","(33.727, -118.2968)"
"3137",120504053,"01/01/2012","12/31/2011",200,5,"Harbor",585,624,"BATTERY - SIMPLE ASSAULT","0416 0401 0554",24,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"900 W  19TH                         ST","","(33.727, -118.2968)"
"3138",120504089,"01/02/2012","12/31/2011",1700,5,"Harbor",585,320,"BURGLARY, ATTEMPTED","0329 1236",58,"M","O",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",320,NA,NA,NA,"2300 S  ALMA                         ST","","(33.7234, -118.299)"
"3139",120504136,"01/03/2012","12/31/2011",400,5,"Harbor",515,310,"BURGLARY","0344 0321 1309 1608 0216",38,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"1700    GULF                         AV","","(33.7969, -118.2743)"
"3140",120504242,"01/05/2012","12/31/2011",1100,5,"Harbor",513,330,"BURGLARY FROM VEHICLE","0352 0358 1609 0344 1307 0325",58,"F","O",108,"PARKING LOT",NA,"","IC","Invest Cont",330,NA,NA,NA,"1200    FIGUEROA                     PL","","(33.786, -118.2816)"
"3141",120504283,"01/06/2012","12/31/2011",1700,5,"Harbor",564,330,"BURGLARY FROM VEHICLE","0344 1300 0385",41,"F","X",108,"PARKING LOT",NA,"","IC","Invest Cont",330,NA,NA,NA,"500 S  HARBOR                       BL","","(33.7405, -118.2797)"
"3142",120504482,"01/09/2012","12/31/2011",1600,5,"Harbor",566,354,"THEFT OF IDENTITY","1822 1202 0922",62,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",354,NA,NA,NA,"1100 S  PACIFIC                      AV","","(33.7342, -118.2879)"
"3143",120504600,"01/12/2012","12/31/2011",1600,5,"Harbor",503,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","",11,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",420,NA,NA,NA,"1000 W  252ND                        ST","","(33.7958, -118.2937)"
"3144",120504985,"01/19/2012","12/31/2011",1730,5,"Harbor",584,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344 1300 1606",35,"M","W",104,"DRIVEWAY",NA,"","IC","Invest Cont",420,NA,NA,NA,"1000 W  27TH                         ST","","(33.7198, -118.299)"
"3145",120505992,"02/06/2012","12/31/2011",1200,5,"Harbor",558,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","",11,"","",101,"STREET",NA,"","IC","Invest Cont",420,NA,NA,NA,"300 W  OLIVER                       ST","","(33.7469, -118.2835)"
"3146",120519960,"12/04/2012","12/31/2011",1000,5,"Harbor",563,354,"THEFT OF IDENTITY","1822",48,"F","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"700 W  16TH                         ST","","(33.7297, -118.2919)"
"3147",120519993,"12/05/2012","12/31/2011",1200,5,"Harbor",563,354,"THEFT OF IDENTITY","1822",28,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",354,NA,NA,NA,"1000 W  12TH                         ST","","(33.7334, -118.299)"
"3148",120604001,"12/31/2011","12/31/2011",2130,6,"Hollywood",645,624,"BATTERY - SIMPLE ASSAULT","0400 0416 1266",42,"F","W",210,"RESTAURANT/FAST FOOD",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6800    HOLLYWOOD                    BL","","(34.1016, -118.3387)"
"3149",120604002,"01/01/2012","12/31/2011",1600,6,"Hollywood",645,648,"ARSON","1501",31,"M","H",707,"GARAGE/CARPORT",NA,"","IC","Invest Cont",648,NA,NA,NA,"1300 N  MANSFIELD                    AV","","(34.0944, -118.3405)"
"3150",120604011,"01/01/2012","12/31/2011",1950,6,"Hollywood",665,648,"ARSON","1501",11,"M","O",101,"STREET",NA,"","IC","Invest Cont",648,NA,NA,NA,"1200 N  MANSFIELD                    AV","","(34.0926, -118.3404)"
"3151",120604012,"12/31/2011","12/31/2011",130,6,"Hollywood",636,624,"BATTERY - SIMPLE ASSAULT","0400 0444 0603",46,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"6600    FRANKLIN                     AV","","(34.1052, -118.3333)"
"3152",120604013,"01/01/2012","12/31/2011",1910,6,"Hollywood",643,648,"ARSON","1501",51,"M","H",103,"ALLEY",NA,"","IC","Invest Cont",648,NA,NA,NA,"7100    HAWTHORNE                    AV","","(33.8696, -118.3526)"
"3153",120604014,"01/01/2012","12/31/2011",1852,6,"Hollywood",645,648,"ARSON","1501",11,"F","O",123,"PARKING UNDERGROUND/BUILDING",NA,"","IC","Invest Cont",648,NA,NA,NA,"6800    HOLLYWOOD                    BL","","(34.1016, -118.3387)"
"3154",120604020,"12/31/2011","12/31/2011",1650,6,"Hollywood",638,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 0400 0417",22,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",745,NA,NA,NA,"1800    GARFIELD                     PL","","(34.1036, -118.3107)"
"3155",120604028,"01/01/2012","12/31/2011",1150,6,"Hollywood",648,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0344 0325 0601",NA,"M","W",203,"OTHER BUSINESS",NA,"","AA","Adult Arrest",442,NA,NA,NA,"5400    HOLLYWOOD                    BL","","(34.1018, -118.3071)"
"3156",120604030,"01/01/2012","12/31/2011",1000,6,"Hollywood",642,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0408 0400",24,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",626,NA,NA,NA,"1400 N  SIERRA BONITA                AV","","(34.0962, -118.3539)"
"3157",120604044,"01/01/2012","12/31/2011",1755,6,"Hollywood",645,648,"ARSON","",50,"F","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",648,NA,NA,NA,"1300 N  CITRUS                       AV","","(34.0944, -118.3398)"
"3158",120604055,"12/31/2011","12/31/2011",2330,6,"Hollywood",643,900,"VIOLATION OF COURT ORDER","",36,"M","B",735,"NIGHT CLUB (OPEN EVENINGS ONLY)",NA,"","IC","Invest Cont",900,NA,NA,NA,"7200 W  SUNSET                       BL","","(34.098, -118.3469)"
"3159",120604078,"01/01/2012","12/31/2011",2100,6,"Hollywood",677,310,"BURGLARY","0344",NA,"M","O",202,"LIQUOR STORE",NA,"","IC","Invest Cont",310,NA,NA,NA,"800 N  WESTERN                      AV","","(34.0848, -118.3091)"
"3160",120604079,"01/01/2012","12/31/2011",2330,6,"Hollywood",666,330,"BURGLARY FROM VEHICLE","0344 1300 1307",35,"M","W",108,"PARKING LOT",NA,"","IC","Invest Cont",330,NA,NA,NA,"6200 W  SUNSET                       BL","","(34.098, -118.3237)"
"3161",120604087,"12/31/2011","12/31/2011",230,6,"Hollywood",637,330,"BURGLARY FROM VEHICLE","0344 1300 1307",19,"F","B",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"VISTA DEL MAR                AV","GOWER                        ST","(34.103, -118.3225)"
"3162",120604093,"01/01/2012","12/31/2011",2300,6,"Hollywood",667,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1300",24,"F","B",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",745,NA,NA,NA,"1100    TAMARIND                     AV","","(34.0908, -118.319)"
"3163",120604096,"01/01/2012","12/31/2011",1930,6,"Hollywood",666,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329 1300",40,"F","O",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"1100    WILCOX                       AV","","(34.0907, -118.331)"
"3164",120604102,"12/31/2011","12/31/2011",240,6,"Hollywood",647,624,"BATTERY - SIMPLE ASSAULT","0416 2000",27,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",624,NA,NA,NA,"6000    CARLTON                      WY","","(34.1005, -118.3205)"
"3165",120604103,"12/31/2011","12/31/2011",30,6,"Hollywood",646,624,"BATTERY - SIMPLE ASSAULT","0416",29,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"VINE                         ST","HOLLYWOOD                    BL","(34.1016, -118.3267)"
"3166",120604123,"12/31/2011","12/31/2011",2215,6,"Hollywood",645,624,"BATTERY - SIMPLE ASSAULT","",22,"F","H",103,"ALLEY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6800    HOLLYWOOD                    BL","","(34.1016, -118.3387)"
"3167",120604157,"01/02/2012","12/31/2011",2300,6,"Hollywood",666,510,"VEHICLE - STOLEN","",11,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",510,NA,NA,NA,"1400 N  IVAR                         AV","","(34.0962, -118.3288)"
"3168",120604158,"12/31/2011","12/31/2011",1720,6,"Hollywood",676,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1309 0605",25,"F","W",101,"STREET",307,"VEHICLE","IC","Invest Cont",230,NA,NA,NA,"5900    MELROSE                      AV","","(34.0835, -118.3288)"
"3169",120604160,"12/31/2011","12/31/2011",1720,6,"Hollywood",676,624,"BATTERY - SIMPLE ASSAULT","0416 1309",25,"F","W",406,"OTHER STORE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"5900    MELROSE                      AV","","(34.0835, -118.3288)"
"3170",120604161,"01/02/2012","12/31/2011",1720,6,"Hollywood",676,624,"BATTERY - SIMPLE ASSAULT","0416",55,"F","W",406,"OTHER STORE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"5900    MELROSE                      AV","","(34.0835, -118.3288)"
"3171",120604162,"12/31/2011","12/31/2011",1720,6,"Hollywood",676,624,"BATTERY - SIMPLE ASSAULT","0416 1309",50,"F","W",406,"OTHER STORE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"5900    MELROSE                      AV","","(34.0835, -118.3288)"
"3172",120604213,"01/02/2012","12/31/2011",1400,6,"Hollywood",615,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329 1300",44,"M","W",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"3300    PRIMERA                      AV","","(34.1306, -118.3444)"
"3173",120604258,"01/03/2012","12/31/2011",2100,6,"Hollywood",657,510,"VEHICLE - STOLEN","",11,"","",123,"PARKING UNDERGROUND/BUILDING",NA,"","IC","Invest Cont",510,NA,NA,NA,"900 N  WILTON                       PL","","(34.0871, -118.3135)"
"3174",120604297,"01/03/2012","12/31/2011",1950,6,"Hollywood",646,220,"ATTEMPTED ROBBERY","0334 0444 0417 0355 0448",50,"M","W",102,"SIDEWALK",200,"KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont",220,NA,NA,NA,"1500 N  MC CADDEN                    PL","","(34.098, -118.3376)"
"3175",120604298,"01/03/2012","12/31/2011",1800,6,"Hollywood",622,932,"PEEPING TOM","",27,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",932,NA,NA,NA,"7200    HILLSIDE                     AV","","(34.1046, -118.3461)"
"3176",120604307,"01/03/2012","12/31/2011",2300,6,"Hollywood",645,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344",25,"F","W",503,"HOTEL",NA,"","IC","Invest Cont",440,NA,NA,NA,"7000    HOLLYWOOD                    BL","","(34.1016, -118.3417)"
"3177",120604337,"01/04/2012","12/31/2011",2100,6,"Hollywood",666,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344",33,"M","H",503,"HOTEL",NA,"","IC","Invest Cont",440,NA,NA,NA,"1100    VINE                         ST","","(34.0908, -118.3266)"
"3178",120604395,"01/04/2012","12/31/2011",1030,6,"Hollywood",621,310,"BURGLARY","0344 1609",58,"M","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"2700    EDWIN                        PL","","(34.1215, -118.39)"
"3179",120604493,"01/05/2012","12/31/2011",1,6,"Hollywood",643,354,"THEFT OF IDENTITY","1822",39,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",354,NA,NA,NA,"1600 N  GARDNER                      ST","","(34.0999, -118.3528)"
"3180",120604498,"01/06/2012","12/31/2011",2045,6,"Hollywood",632,648,"ARSON","1501",45,"M","O",101,"STREET",NA,"","IC","Invest Cont",648,NA,NA,NA,"1600 N  CRESCENT HEIGHTS             BL","","(34.1006, -118.3675)"
"3181",120604661,"12/31/2011","12/31/2011",2100,6,"Hollywood",638,624,"BATTERY - SIMPLE ASSAULT","0400 2000 1814 1300 1309 0432 0421 0448",33,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"1800 N  GRAMERCY                     PL","","(34.1036, -118.3123)"
"3182",120605402,"01/17/2012","12/31/2011",1200,6,"Hollywood",637,354,"THEFT OF IDENTITY","0100 1822 0930 1202",63,"F","H",602,"BANK",NA,"","IC","Invest Cont",354,NA,NA,NA,"5900    CARLOS                       AV","","(34.1027, -118.318)"
"3183",120606997,"02/07/2012","12/31/2011",2100,6,"Hollywood",647,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344",35,"M","W",735,"NIGHT CLUB (OPEN EVENINGS ONLY)",NA,"","IC","Invest Cont",440,NA,NA,NA,"6200 W  SUNSET                       BL","","(34.098, -118.3237)"
"3184",120607936,"02/21/2012","12/31/2011",1657,6,"Hollywood",669,649,"DOCUMENT FORGERY / STOLEN FELONY","0929",50,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",649,NA,NA,NA,"1100 N  KINGSLEY                     DR","","(34.0908, -118.3025)"
"3185",120611721,"04/13/2012","12/31/2011",1800,6,"Hollywood",621,354,"THEFT OF IDENTITY","1822",59,"F","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"8600    SKYLINE                      DR","","(34.1169, -118.3861)"
"3186",120704213,"01/06/2012","12/31/2011",1830,7,"Wilshire",773,510,"VEHICLE - STOLEN","",11,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"1800 S  REDONDO                      BL","","(34.0436, -118.3513)"
"3187",120704001,"12/31/2011","12/31/2011",1330,7,"Wilshire",778,624,"BATTERY - SIMPLE ASSAULT","0448",18,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"WASHINGTON","7TH                          AV","(34.0399, -118.3248)"
"3188",120704008,"01/01/2012","12/31/2011",500,7,"Wilshire",723,648,"ARSON","1501",28,"M","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",648,NA,NA,NA,"100 S  HAYWORTH                     AV","","(34.0743, -118.3626)"
"3189",120704011,"12/31/2011","12/31/2011",1800,7,"Wilshire",706,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329",70,"F","W",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",745,NA,NA,NA,"800 N  ORANGE                       DR","","(34.0853, -118.3416)"
"3190",120704016,"01/01/2012","12/31/2011",2200,7,"Wilshire",784,510,"VEHICLE - STOLEN","",11,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"4900 W  20TH                         ST","","(34.0391, -118.3464)"
"3191",120704021,"01/01/2012","12/31/2011",1800,7,"Wilshire",743,310,"BURGLARY","1607 0344",24,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",310,NA,NA,NA,"800 S  FAIRFAX                      AV","","(34.0611, -118.3624)"
"3192",120704048,"01/02/2012","12/31/2011",1500,7,"Wilshire",784,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329",44,"M","W",104,"DRIVEWAY",NA,"","IC","Invest Cont",740,NA,NA,NA,"2300    ALSACE                       AV","","(34.0363, -118.3537)"
"3193",120704054,"01/02/2012","12/31/2011",2230,7,"Wilshire",749,330,"BURGLARY FROM VEHICLE","0344 1602",53,"M","W",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"800 S  WINDSOR                      BL","","(34.0598, -118.3225)"
"3194",120704079,"01/02/2012","12/31/2011",430,7,"Wilshire",702,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","0329 1300 1609",39,"M","W",101,"STREET",NA,"","IC","Invest Cont",740,NA,NA,NA,"STANLEY                      AV","ROSEWOOD                     AV","(34.0802, -118.3564)"
"3195",120704096,"01/03/2012","12/31/2011",2355,7,"Wilshire",762,624,"BATTERY - SIMPLE ASSAULT","0400 0444",34,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6000    HORNER                       ST","","(34.0493, -118.373)"
"3196",120704120,"01/03/2012","12/31/2011",2100,7,"Wilshire",749,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114","1300 0329 1602",29,"F","O",101,"STREET",NA,"","IC","Invest Cont",740,NA,NA,NA,"800 S  WINDSOR                      BL","","(34.0598, -118.3225)"
"3197",120704429,"01/04/2012","12/31/2011",2200,7,"Wilshire",735,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344",23,"M","W",210,"RESTAURANT/FAST FOOD",NA,"","IC","Invest Cont",440,NA,NA,NA,"5300    WILSHIRE                     BL","","(34.0623, -118.344)"
"3198",120704500,"01/13/2012","12/31/2011",1,7,"Wilshire",776,354,"THEFT OF IDENTITY","0377",25,"M","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"4500 W  18TH                         ST","","(34.0408, -118.3369)"
"3199",120800502,"01/01/2012","12/31/2011",1800,8,"West LA",835,310,"BURGLARY","0344 1601 1210",NA,"M","O",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",310,NA,NA,NA,"1900    WESTWOOD                     BL","","(34.0482, -118.4354)"
"3200",120800506,"01/02/2012","12/31/2011",1845,8,"West LA",831,310,"BURGLARY","0344 0352 1607",38,"M","O",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",310,NA,NA,NA,"12200    DARLINGTON                   AV","","(34.047, -118.4711)"
"3201",120804001,"12/31/2011","12/31/2011",1300,8,"West LA",898,210,"ROBBERY","",36,"M","A",210,"RESTAURANT/FAST FOOD",102,"HAND GUN","AA","Adult Arrest",210,NA,NA,NA,"2500 S  ROBERTSON                    BL","","(34.039, -118.3882)"
